code,name,name_fa,icao,logo
Y5,Golden Myanmar Airlines,,AWA,images/airlines/AWA.png
YE,Yan Air,,YEL,images/airlines/YEL.png
YL,Yamal Airlines,,LLM,images/airlines/LLM.png
YM,Montenegro Airlines,,MGX,images/airlines/MGX.png
YS,Régional Compagnie Aérienne Européenne,,RAE,images/airlines/RAE.png
YV,Mesa Airlines,,ASH,images/airlines/ASH.png
YW,Air Nostrum,,ANE,images/airlines/ANE.png
YX,Midwest Airlines,,MEP,images/airlines/MEP.png
Z3,Avient Aviation,,SMJ,images/airlines/SMJ.png
Z8,Línea Aérea Amaszonas,,AZN,images/airlines/AZN.png
ZA,Sky Angkor Airlines,,SUW,images/airlines/SUW.png
ZB,Air Albania,,MON,images/airlines/MON.png
ZE,Eastar Jet,,ESR,images/airlines/ESR.png
ZH,Shenzhen Airlines,,CSZ,images/airlines/CSZ.png
ZI,Aigle Azur,,AAF,images/airlines/AAF.png
ZK,Great Lakes Airlines,,GLA,images/airlines/GLA.png
ZL,Regional Express,,RXA,images/airlines/RXA.png
ZS,Kazaviaspas,,SMY,images/airlines/SMY.png
ZV,Zagros,هواپیمایی زاگرس,IZG,images/airlines/IZG.png
ZW,Air Wisconsin,,AWI,images/airlines/AWI.png
ZY,Sky Airlines,,ADE,images/airlines/ADE.png
